question,option,input_type,input_id,dependence,dependence_value,required
First name,NA,text,first_name,NA,NA,TRUE
Last name,NA,text,last_name,NA,NA,TRUE
Date (YYYY-MM-DD),NA,text,date,NA,NA,TRUE
Local time 24h (hh:mm:ss),NA,text,time,NA,NA,TRUE
Site,22D Bar Harbor Town Pier,select,site,NA,NA,TRUE
Site,22G MDIBL Dock,select,site,NA,NA,TRUE
Site,23A Bass Harbor,select,site,NA,NA,TRUE
Site,22A Anchorage Alpha,select,site,NA,NA,TRUE
Site,22B Anchorage Bravo,select,site,NA,NA,TRUE
Weather,Clear,select,weather,NA,NA,TRUE
Weather,Partly Cloudy,select,weather,NA,NA,TRUE
Weather,Overcast,select,weather,NA,NA,TRUE
Weather,Drizzle,select,weather,NA,NA,TRUE
Weather,Rain,select,weather,NA,NA,TRUE
Weather,Fog,select,weather,NA,NA,TRUE
Weather,Snow,select,weather,NA,NA,TRUE
Wind speed (relative),0 Calm,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),1 Light air,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),2 Light breeze,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),3 Gentle breeze,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),4 Moderate breeze,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),5 Fresh breeze,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),6 Strong breeze,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),7 Near gale,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),8 Gale,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),9 Severe gale,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),10 Storm,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),11 Violent storm,select,wind_speed_descriptive,NA,NA,TRUE
Wind speed (relative),12 Hurricane,select,wind_speed_descriptive,NA,NA,TRUE
Current (relative),slow,select,water_current_descriptive,NA,NA,TRUE
Current (relative),medium,select,water_current_descriptive,NA,NA,TRUE
Current (relative),rapid,select,water_current_descriptive,NA,NA,TRUE
Phytoplanton Sample Method,Filter,select,method,NA,NA,TRUE
Phytoplanton Sample Method,Tow,select,method,NA,NA,TRUE
Water temperature (degrees C),NA,numeric,water_temp,NA,NA,TRUE
Air temperature (degrees C),NA,numeric,air_temp,NA,NA,TRUE
Ascending transparency (m),NA,numeric,trans_asc,NA,NA,TRUE
Descending transparency (m),NA,numeric,trans_desc,NA,NA,TRUE
Water depth (m),NA,numeric,bottom_depth,NA,NA,TRUE
Salinity (ppt),NA,numeric,salinity,NA,NA,TRUE
pH,NA,numeric,ph,NA,NA,TRUE
Dissolved Oxygen (ppt),NA,numeric,DO,NA,NA,TRUE
Nutrient vial ID,NA,numeric,nutrient_vial_id,NA,NA,TRUE
Volume filtered (L),NA,numeric,volume_filtered,NA,NA,TRUE
Resuspension volume (L),NA,numeric,resusp_volume,NA,NA,TRUE
Dilution factor ,NA,numeric,dilution_factor,NA,NA,TRUE
Grid cells counted ,NA,numeric,grids_counted,NA,NA,TRUE
Alexandrium,NA,numeric,Alexandrium,NA,NA,TRUE
Pseudo-nitzschia small (width <2.5 um),NA,numeric,PN_small,NA,NA,TRUE
Pseudo-nitzschia large (width >2.5 um),NA,numeric,PN_large,NA,NA,TRUE
Dinophysis acuminata,NA,numeric,Dinophysis_acuminata,NA,NA,TRUE
Dinophysis norvegica,NA,numeric,Dinophsis_norvegica,NA,NA,TRUE
Dinophysis spp.,NA,numeric,Dinophsis_spp,NA,NA,TRUE
Prorocentrum lima,NA,numeric,Prorocentrum_lima,NA,NA,TRUE
Prorocentrum spp.,NA,numeric,Prorocentrum_spp,NA,NA,TRUE
Karenia,NA,numeric,Karenia,NA,NA,TRUE
Margalefidinium polykrikoides,NA,numeric,Margalefidinium_polykrikoides,NA,NA,TRUE
Other and unknown diatoms,NA,numeric,Other_diatoms,NA,NA,TRUE
Other and unkown dinoflagellates,NA,numeric,Other_dinos,NA,NA,TRUE
Other and unkown phytoplankton,NA,numeric,Other_phytoplankton,NA,NA,TRUE
Copepods,NA,numeric,Copepods,NA,NA,TRUE
Other zooplankton,NA,numeric,Other_zoos,NA,NA,TRUE
Date emailed to DMR (YYYY-MM-DD),NA,text,Date_emailed,NA,NA,TRUE
Comments and notes,NA,text,Comments,NA,NA,FALSE
